16:14:58.445 INFO  org.agmip.ui.aceb2csv.App - Translating file: Survey_data_import-Navrongo_Mz.aceb
16:14:58.772 INFO  org.agmip.ace.AceDataset - sid found - e196715531f4f34c3b605dcd728e2ec5a1c3be8e03b2cd948717b88986e13b0e
16:14:58.772 INFO  org.agmip.ace.AceDataset - wid found - 6e4d1259912ccddf821ab1c813d0cd0a2abc9d6185397f62de3a81af6f4fa637
16:14:58.772 INFO  org.agmip.ace.AceDataset - sid found - e196715531f4f34c3b605dcd728e2ec5a1c3be8e03b2cd948717b88986e13b0e
16:14:58.772 INFO  org.agmip.ace.AceDataset - wid found - 6e4d1259912ccddf821ab1c813d0cd0a2abc9d6185397f62de3a81af6f4fa637
16:14:58.772 INFO  org.agmip.ace.AceDataset - sid found - e196715531f4f34c3b605dcd728e2ec5a1c3be8e03b2cd948717b88986e13b0e
16:14:58.772 INFO  org.agmip.ace.AceDataset - wid found - 6e4d1259912ccddf821ab1c813d0cd0a2abc9d6185397f62de3a81af6f4fa637
16:14:58.772 INFO  org.agmip.ace.AceDataset - sid found - e196715531f4f34c3b605dcd728e2ec5a1c3be8e03b2cd948717b88986e13b0e
16:14:58.772 INFO  org.agmip.ace.AceDataset - wid found - 6e4d1259912ccddf821ab1c813d0cd0a2abc9d6185397f62de3a81af6f4fa637
16:14:58.773 INFO  org.agmip.ace.AceDataset - sid found - e196715531f4f34c3b605dcd728e2ec5a1c3be8e03b2cd948717b88986e13b0e
16:14:58.773 INFO  org.agmip.ace.AceDataset - wid found - 6e4d1259912ccddf821ab1c813d0cd0a2abc9d6185397f62de3a81af6f4fa637
16:14:58.773 INFO  org.agmip.ace.AceDataset - sid found - e196715531f4f34c3b605dcd728e2ec5a1c3be8e03b2cd948717b88986e13b0e
16:14:58.773 INFO  org.agmip.ace.AceDataset - wid found - 6e4d1259912ccddf821ab1c813d0cd0a2abc9d6185397f62de3a81af6f4fa637
16:14:58.773 INFO  org.agmip.ace.AceDataset - sid found - e196715531f4f34c3b605dcd728e2ec5a1c3be8e03b2cd948717b88986e13b0e
16:14:58.773 INFO  org.agmip.ace.AceDataset - wid found - 6e4d1259912ccddf821ab1c813d0cd0a2abc9d6185397f62de3a81af6f4fa637
16:14:58.773 INFO  org.agmip.ace.AceDataset - sid found - e196715531f4f34c3b605dcd728e2ec5a1c3be8e03b2cd948717b88986e13b0e
16:14:58.773 INFO  org.agmip.ace.AceDataset - wid found - 6e4d1259912ccddf821ab1c813d0cd0a2abc9d6185397f62de3a81af6f4fa637
16:14:58.773 INFO  org.agmip.ace.AceDataset - sid found - e196715531f4f34c3b605dcd728e2ec5a1c3be8e03b2cd948717b88986e13b0e
16:14:58.774 INFO  org.agmip.ace.AceDataset - wid found - 6e4d1259912ccddf821ab1c813d0cd0a2abc9d6185397f62de3a81af6f4fa637
16:14:58.774 INFO  org.agmip.ace.AceDataset - sid found - e196715531f4f34c3b605dcd728e2ec5a1c3be8e03b2cd948717b88986e13b0e
16:14:58.774 INFO  org.agmip.ace.AceDataset - wid found - 6e4d1259912ccddf821ab1c813d0cd0a2abc9d6185397f62de3a81af6f4fa637
16:14:58.774 INFO  org.agmip.ace.AceDataset - sid found - e196715531f4f34c3b605dcd728e2ec5a1c3be8e03b2cd948717b88986e13b0e
16:14:58.774 INFO  org.agmip.ace.AceDataset - wid found - 6e4d1259912ccddf821ab1c813d0cd0a2abc9d6185397f62de3a81af6f4fa637
16:14:58.774 INFO  org.agmip.ace.AceDataset - sid found - e196715531f4f34c3b605dcd728e2ec5a1c3be8e03b2cd948717b88986e13b0e
16:14:58.774 INFO  org.agmip.ace.AceDataset - wid found - 6e4d1259912ccddf821ab1c813d0cd0a2abc9d6185397f62de3a81af6f4fa637
16:14:58.774 INFO  org.agmip.ace.AceDataset - sid found - e196715531f4f34c3b605dcd728e2ec5a1c3be8e03b2cd948717b88986e13b0e
16:14:58.774 INFO  org.agmip.ace.AceDataset - wid found - 6e4d1259912ccddf821ab1c813d0cd0a2abc9d6185397f62de3a81af6f4fa637
16:14:58.774 INFO  org.agmip.ace.AceDataset - sid found - e196715531f4f34c3b605dcd728e2ec5a1c3be8e03b2cd948717b88986e13b0e
16:14:58.972 INFO  org.agmip.ui.aceb2csv.App - Translating the data...
16:14:59.086 INFO  org.agmip.ui.aceb2csv.App - Job done!
